880;1;32;49.68028093315661
880;1;32;49.7921404261142
880;1;32;49.07329745776951
880;5;32;2.158371899276972
880;5;32;2.1003074925392866
880;5;32;2.127263955771923
880;10;32;0.5997470784932375
880;10;32;0.6170264575630426
880;10;32;0.6028747204691172
880;20;32;0.2585721742361784
880;20;32;0.25950871780514717
880;20;32;0.26777055114507675
880;55;32;0.21764944307506084
880;55;32;0.21924423053860664
880;55;32;0.2176490593701601
880;150;32;0.46921034902334213
880;150;32;0.46551896445453167
880;150;32;0.4706267025321722
880;400;32;1.1655197832733393
880;400;32;1.1804001424461603
880;400;32;1.1701402552425861
