size,nprocs,mean_time,speedup,efficiency
120,1.0,0.16819209977984428,1.0,1.0
120,2.0,0.09254084837933381,1.8174903593968443,0.9087451796984222
120,4.0,0.061592222501834236,2.730736007697002,0.6826840019242505
120,8.0,0.04713239707052708,3.568502988043833,0.44606287350547913
120,16.0,0.05448639144500097,3.0868643585916096,0.1929290224119756
120,24.0,0.06570034412046273,2.559988110130156,0.10666617125542316
120,32.0,0.07772955174247424,2.163811523538454,0.06761911011057668
1030,1.0,11.62441261174778,1.0,1.0
1030,2.0,5.808674596870939,2.0012160119986246,1.0006080059993123
1030,4.0,2.9560855527718863,3.9323667749898874,0.9830916937474719
1030,8.0,1.4986070866386096,7.7568114520407425,0.9696014315050928
1030,16.0,0.7912052224079767,14.692032209253762,0.9182520130783601
1030,24.0,0.572527939453721,20.303659980051354,0.8459858325021398
1030,32.0,0.4995133640865485,23.271474694185898,0.7272335841933093
