size,nprocs,mean_time,speedup,efficiency
120,1.0,0.07915576236943404,1.0,1.0
120,2.0,0.04725957723955313,1.6749147367146975,0.8374573683573487
120,4.0,0.0338285801311334,2.339907914035823,0.5849769785089558
120,8.0,0.03291882326205572,2.40457448127175,0.3005718101589688
120,16.0,0.04099640063941479,1.9307978538323693,0.12067486586452308
120,24.0,0.05293460997442404,1.495349874263342,0.06230624476097258
120,32.0,0.06508742148677508,1.216145309820231,0.03800454093188222
1030,1.0,5.195549135406812,1.0,1.0
1030,2.0,2.462029385070006,2.110270968702951,1.0551354843514755
1030,4.0,1.2712373280276854,4.087001711527512,1.021750427881878
1030,8.0,0.6559721423933903,7.920380759539954,0.9900475949424943
1030,16.0,0.3669594172388315,14.158375262584814,0.8848984539115509
1030,24.0,0.29522680429120857,17.59850074548779,0.7332708643953246
1030,32.0,0.2980176651229461,17.433695191402183,0.5448029747313182
