120;24;1;0.07854751497507095
120;24;1;0.07946930825710297
120;24;1;0.0794504638761282
1030;24;1;5.121090644970536
1030;24;1;5.197541041299701
1030;24;1;5.268015719950199
120;24;2;0.04687875509262085
120;24;2;0.04742259159684181
120;24;2;0.04747738502919674
1030;24;2;2.463963659480214
1030;24;2;2.460585018619895
1030;24;2;2.461539477109909
120;24;4;0.03371579945087433
120;24;4;0.033858051523566246
120;24;4;0.03391188941895962
1030;24;4;1.2665089517831802
1030;24;4;1.2644251957535744
1030;24;4;1.2827778365463018
120;24;8;0.03278454393148422
120;24;8;0.03327379934489727
120;24;8;0.03269812650978565
1030;24;8;0.652858329936862
1030;24;8;0.6608008425682783
1030;24;8;0.6542572546750307
120;24;16;0.0409721452742815
120;24;16;0.041166843846440315
120;24;16;0.040850212797522545
1030;24;16;0.36726290360093117
1030;24;16;0.36521575413644314
1030;24;16;0.36839959397912025
120;24;24;0.05346697382628918
120;24;24;0.0524186585098505
120;24;24;0.052918197587132454
1030;24;24;0.30662314034998417
1030;24;24;0.2900350093841553
1030;24;24;0.2890222631394863
120;24;32;0.06536828354001045
120;24;32;0.06428175047039986
120;24;32;0.06561223044991493
1030;24;32;0.3012764919549227
1030;24;32;0.2911422923207283
1030;24;32;0.30163421109318733
